date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-12 10:50:27,596894.801770395,3.0,1.61,1643,26207,1.3,0,0,3,1319,450,1969,514,5421-5499 52nd Terrace S,Redmond,WA 98053,USA
2014-06-17 15:41:13,1956045.105756729,2.0,2.64,2081,28705,1.4,0,0,3,1780,553,2013,239,18429 W Lake Desire Dr SE,Kent,WA 98133,USA
2014-05-16 21:22:34,792578.3109165566,3.0,0.82,1337,39282,1.2,0,1,4,1048,448,1969,1591,2253 SW 313th St,Issaquah,WA 98168,USA
2014-05-14 19:54:33,492699.9850307749,5.0,2.89,2677,18513,1.4,0,1,4,1599,766,1966,1623,11366 SE 298th Pl,Bellevue,WA 98053,USA
2014-06-21 01:10:28,292946.1565669073,3.0,2.43,3111,26621,1.3,0,0,4,1935,1228,1960,1478,8802 30th Ave SW,Seattle,WA 98075,USA
2014-06-04 14:06:42,76084.47746779551,5.0,1.88,2155,30500,1.2,0,0,3,1050,721,1943,1772,512 N 65th St,Seattle,WA 98001,USA
2014-06-15 13:34:33,1825351.833966866,2.0,2.01,1818,13256,1.3,0,1,4,1292,588,1956,154,5149 S Graham St,Seattle,WA 98125,USA
2014-05-12 16:31:28,1676731.1466101336,4.0,3.98,3796,61178,2.4,0,2,3,3604,539,1998,193,2416 70th Ave SE,Woodinville,WA 98034,USA
2014-05-25 01:38:55,346404.79644259333,4.0,1.57,1788,61293,1.1,0,0,4,1519,357,1938,226,4205 S 288th Pl,Redmond,WA 98115,USA
2014-05-21 23:06:32,476978.3315255076,3.0,1.3,2225,41115,1.0,0,1,3,1890,354,1936,1729,10010 44th Ave SW,Bellevue,WA 98116,USA
2014-07-02 07:35:20,1709477.5978709038,4.0,2.25,1879,9244,1.8,0,1,5,1364,451,1967,1621,8430 8th Ave SW,Redmond,WA 98133,USA
2014-05-15 05:07:57,260583.36660587764,5.0,2.42,1934,30071,1.4,0,1,3,1567,779,1968,1369,5923 Beach Dr SW,Bellevue,WA 98116,USA
2014-06-03 14:01:19,1100395.0652443697,3.0,1.27,1191,20470,1.2,0,1,4,711,330,1934,888,742 N 70th St,Seattle,WA 98001,USA
2014-06-22 10:33:13,714851.7464833965,2.0,1.23,1299,12630,1.3,0,1,2,1006,380,1978,1560,4111 Woodland Park Ave N,Kirkland,WA 98059,USA
2014-05-25 13:32:28,96071.938007693,3.0,1.63,650,6612,1.4,0,0,4,685,289,2006,131,3228 36th Ave W,Federal Way,WA 98004,USA
2014-05-22 05:53:17,586673.6096673051,5.0,2.54,2215,28046,1.1,0,0,4,1603,425,1966,1002,4018 NE 6th Ct,Mercer Island,WA 98117,USA
2014-05-28 15:26:13,2161093.037886282,4.0,4.48,4705,33091,2.7,0,2,4,3831,576,2005,491,11631 SE 308th Pl,Bellevue,WA 98092,USA
2014-06-14 14:05:50,541873.2613651848,4.0,3.28,2048,20867,1.1,0,1,4,2028,278,2005,815,3255 111th Ave SE,Sammamish,WA 98126,USA
2014-06-27 18:49:33,883853.5638554482,4.0,1.51,2110,26369,1.8,0,0,4,1734,458,1994,293,37124-37118 237th Pl SE,Bellevue,WA 98125,USA
2014-06-16 04:53:46,2049222.4491346308,3.0,1.27,1185,18199,1.3,0,1,2,1268,179,1968,1032,19601-19853 Newport Way NW,Seattle,WA 98038,USA
2014-06-15 10:32:58,1414454.0858897108,4.0,2.26,2146,43066,1.3,0,1,4,2163,247,1990,411,8906-8914 236th Ave NE,Burien,WA 98168,USA
2014-05-04 16:30:20,371175.6988754534,4.0,2.46,1883,34924,1.9,0,1,3,1640,260,1970,860,33030 NE 201st St,Bellevue,WA 98117,USA
2014-06-05 09:57:47,1545158.3628875106,3.0,1.96,3053,73300,1.6,0,1,3,2155,654,1952,1263,1111 29th Ave,Seattle,WA 98052,USA
2014-06-27 12:26:36,978051.5810895334,4.0,3.22,3122,49137,1.6,0,0,3,2033,920,2000,1474,11826 NE 145th St,Renton,WA 98115,USA
2014-05-21 04:26:42,218367.61368876885,2.0,1.35,1140,4727,1.5,0,0,4,627,747,1902,1101,173 37th Ave E,Seattle,WA 98107,USA
2014-06-12 14:07:09,613725.330087313,1.0,0.97,970,6143,1.6,0,0,3,952,354,2007,865,15003 NE 12th St,Issaquah,WA 98027,USA
2014-06-05 05:55:08,396338.3425320047,3.0,0.79,1395,18406,1.0,0,1,4,995,721,1901,1362,2940 72nd Ave SE,Bellevue,WA 98008,USA
2014-06-19 00:17:04,494899.83750031306,2.0,1.13,408,3559,1.6,0,1,4,426,216,1967,1776,3113 E Cherry St,Seattle,WA 98028,USA
2014-06-07 05:09:37,976152.6368463148,4.0,2.18,1953,7767,1.7,0,1,3,1560,517,1963,1897,31207 22nd Ave SW,Seattle,WA 98144,USA
2014-05-30 07:15:38,1485375.1493786478,4.0,3.46,2831,23152,1.3,0,1,3,1783,1118,2008,148,14926 NE 202nd St,Seattle,WA 98006,USA
2014-06-16 07:56:46,558485.2596903639,3.0,1.91,1739,12472,1.3,0,1,3,1378,738,1909,1609,32955-32977 33rd Ave SW,Mercer Island,WA 98022,USA
2014-06-12 00:48:33,1202354.0089900794,3.0,2.22,2734,6751,1.3,0,0,3,1522,1092,1956,1155,4314 NE 6th Pl,Seattle,WA 98117,USA
2014-05-27 11:27:26,138270.86218516587,4.0,2.95,2358,14403,1.4,0,0,3,2026,467,1961,275,915 N 1st St,Bellevue,WA 98146,USA
2014-07-08 08:46:25,549894.9078114858,5.0,2.2,2421,83428,1.4,0,1,3,2072,434,1967,1187,29024 121st Way SE,Burien,WA 98001,USA
2014-05-21 03:20:36,1744760.1318687925,4.0,3.68,3873,31161,1.3,0,1,4,2779,920,1991,253,4402 4th Ave NE,Kirkland,WA 98177,USA
2014-05-28 22:45:59,851776.4728396387,5.0,0.82,1845,25135,1.6,0,1,3,1537,257,1964,1439,14911 57th Ave S,Mercer Island,WA 98023,USA
2014-06-08 12:27:34,775562.3322592723,4.0,2.53,1946,8985,1.4,0,0,3,1067,714,1914,1494,8059 Loyal Way NW,Issaquah,WA 98107,USA
2014-05-20 13:36:10,1615745.8712221852,4.0,2.83,3365,74772,2.0,0,1,3,3075,321,2005,1390,7210 221st Ave NE,Sammamish,WA 98107,USA
2014-06-17 17:31:16,688086.5562006468,3.0,1.64,2952,37370,1.1,0,0,3,1906,936,1954,557,115 W Raye St,Bellevue,WA 98072,USA
2014-06-08 15:21:17,1662273.889398267,4.0,3.03,2743,70922,1.8,0,1,3,2244,230,1982,1922,2401 NE Daphne St,Seattle,WA 98056,USA
2014-05-12 10:07:48,53525.556802702806,4.0,2.44,1609,7189,1.7,0,0,3,1789,184,1996,1576,13607 128th Ave NE,Seattle,WA 98007,USA
2014-06-04 03:49:59,700721.5954568759,6.0,1.94,1337,33168,1.3,0,0,4,960,632,1955,1662,7343 NE 150th St,Redmond,WA 98031,USA
2014-06-21 03:35:01,356916.5554023623,1.0,1.73,913,26698,1.3,0,1,4,493,800,1993,331,12000-12098 SE 71st Pl,Auburn,WA 98040,USA
2014-05-05 02:30:30,941462.2716189676,3.0,2.17,3123,64405,1.7,0,1,3,2651,466,2004,1319,6820 39th Ave NE,Renton,WA 98028,USA
2014-06-09 14:06:10,1656210.1837400757,6.0,3.98,5244,48810,1.8,0,1,4,3742,1233,1905,1226,14008 81st Ave NE,Bellevue,WA 98001,USA
2014-06-08 12:30:59,707695.6034111531,3.0,1.45,584,10660,1.5,0,0,4,767,116,1985,98,26712 186th Ave SE,Seattle,WA 98058,USA
2014-05-27 00:54:31,1305527.5097941423,4.0,3.1,2016,63498,1.4,0,0,4,1355,538,1997,856,6601 NE 153rd Pl,Bellevue,WA 98006,USA
2014-05-08 08:24:29,959996.8574659432,4.0,2.3,2453,54038,1.2,0,0,3,1812,558,1932,871,24134 SE 20th St,Covington,WA 98075,USA
2014-05-30 16:05:09,1722026.658688436,5.0,2.79,3902,37176,2.0,0,1,3,3323,312,1962,613,13749 1st Ave NE,Snoqualmie,WA 98103,USA
2014-06-09 08:37:54,1315944.9172797075,4.0,2.51,2513,11208,1.6,0,2,2,2400,256,1972,1377,5162 S 170th St,Seattle,WA 98001,USA
2014-05-17 19:54:19,2762907.194854373,4.0,2.97,3895,25663,1.9,0,2,5,2820,678,1994,103,14323 73rd Ave NE,Seattle,WA 98058,USA
2014-06-28 16:36:14,546905.7486049563,4.0,2.0,1152,6077,1.4,0,0,4,975,286,1995,83,4402 4th Ave NE,Seattle,WA 98103,USA
2014-06-05 22:05:17,667458.3744807764,5.0,2.13,2772,33574,1.3,0,0,4,1994,529,1925,1495,8723 S 117th St,Sammamish,WA 98136,USA
2014-06-20 19:47:14,334886.71540763776,3.0,1.65,1721,16338,1.6,0,1,4,1244,379,1982,1567,1012 N 42nd Pl,Seattle,WA 98042,USA
2014-05-09 05:59:49,324746.6953060642,3.0,2.19,1579,15148,2.9,0,0,4,2088,13,1969,384,1318 29th Ave S,Seattle,WA 98056,USA
2014-06-13 16:19:29,177042.1114888405,4.0,3.27,1525,20522,1.7,0,1,3,1734,170,1998,503,8013 20th Ave NE,Seattle,WA 98103,USA
2014-05-13 17:28:50,647589.1938490024,2.0,0.49,469,1443,2.3,0,0,3,942,15,1948,1289,14128 W Lake Kathleen Dr SE,Seattle,WA 98002,USA
2014-06-15 18:38:18,995126.8890712248,5.0,3.83,3586,35639,2.2,0,1,2,2931,544,2012,1723,15901-15999 131st Pl SE,Woodinville,WA 98178,USA
2014-05-17 23:44:13,1064947.643482762,3.0,1.42,1724,47535,1.2,0,0,2,1957,125,1979,1724,26206-26214 143rd Ave SE,Seattle,WA 98053,USA
2014-05-19 21:06:37,1217256.291775884,3.0,1.81,1792,79206,1.3,0,0,4,1500,748,1998,1064,8442 SE 36th St,Seattle,WA 98155,USA
2014-05-30 21:26:31,771433.2825955707,4.0,2.25,3454,90262,1.6,0,2,4,2587,686,1945,931,2565-2599 3rd Ave W,North Bend,WA 98105,USA
2014-06-05 18:11:49,476053.3402097401,2.0,1.18,695,11176,1.3,0,1,3,496,441,1996,1792,915 N 1st St,Renton,WA 98168,USA
2014-06-08 15:00:04,287856.6771027415,2.0,0.74,1261,30092,1.6,0,1,4,1181,151,1957,1316,4421 145th Ave SE,Seattle,WA 98058,USA
2014-06-20 09:53:27,446420.6715103659,3.0,1.45,1473,45267,1.2,0,0,3,904,734,2008,917,2415 209th Ave NE,Renton,WA 98006,USA
2014-07-01 12:34:42,84267.82421020808,3.0,1.53,1652,34673,1.4,0,1,3,1144,222,1973,1467,7940 12th Ave SW,Duvall,WA 98109,USA
2014-05-05 22:02:34,255631.4208952388,3.0,1.04,1470,921,1.4,0,0,3,1087,382,1960,1199,2808 120th Ave NE,Bellevue,WA 98065,USA
2014-06-17 22:47:22,1453536.36751515,4.0,4.13,3600,32304,2.1,0,1,4,3347,340,2009,408,507 Janet Ave NE,Seattle,WA 98103,USA
2014-05-23 08:35:09,1844345.005694395,4.0,2.23,2259,70970,1.2,0,0,3,1524,566,1964,407,24146 SE 45th Pl,Federal Way,WA 98155,USA
2014-06-08 14:36:24,15916.518348643209,3.0,2.77,1024,847,1.2,0,0,3,487,1030,2001,1683,9703 130th Ave NE,Mercer Island,WA 98116,USA
2014-06-19 17:42:32,1718094.1179740585,5.0,2.8,4056,75071,3.0,0,1,3,4630,23,2003,360,2640 NW 56th St,Des Moines,WA 98065,USA
2014-06-23 16:50:17,948764.5690254106,3.0,0.91,1057,33476,1.1,0,1,4,613,858,1901,272,2413 171 Ave SE,Seattle,WA 98023,USA
2014-06-22 13:27:06,540588.4197594927,2.0,0.49,777,12413,1.1,0,0,3,536,416,1954,1466,16822 NE 87th St,Seattle,WA 98033,USA
2014-06-10 22:12:16,1601141.7621128291,5.0,3.13,3243,44578,1.5,0,1,3,2526,790,1999,736,206 Lingering Pine Dr NW,Bellevue,WA 98056,USA
2014-05-31 22:46:44,376052.4182203226,4.0,1.59,1808,29361,1.6,0,1,3,1201,647,1978,1654,32927 143rd Ct SE,Sammamish,WA 98116,USA
2014-05-27 09:10:33,1242563.728845848,4.0,2.39,1199,10064,1.2,0,0,4,1078,376,1988,1036,4612 92nd Ave NE,Snoqualmie,WA 98074,USA
2014-06-21 15:04:28,721440.5901598319,4.0,2.0,1665,1388,2.0,0,0,5,1325,503,1962,393,3040 SW Avalon Way,Seattle,WA 98056,USA
2014-05-19 04:58:32,1056773.4007419068,4.0,3.23,3202,72132,1.9,0,1,3,2226,1025,1969,1040,1614 33rd Ave,Kenmore,WA 98034,USA
2014-06-15 11:16:15,200218.52247046004,4.0,2.84,2038,90872,1.3,0,1,4,1886,428,1965,1297,680 Shelton Ave NE,Kirkland,WA 98030,USA
2014-06-29 13:59:25,525344.9516461412,4.0,2.05,1627,40173,1.6,0,0,4,1378,494,1958,945,17814 161st Ave SE,Renton,WA 98059,USA
2014-06-14 09:13:28,8790.983637882688,3.0,1.13,857,24147,1.5,0,1,3,983,78,1907,1951,8215 8th Ave S,Kirkland,WA 98070,USA
2014-05-25 19:10:50,1119805.4832293938,4.0,2.76,3103,30982,1.1,0,1,3,2579,706,2007,93,14923 SE 143rd Pl,North Bend,WA 98102,USA
2014-07-01 16:31:47,40120.29797486332,3.0,0.79,1520,33219,1.2,0,1,3,1332,173,1977,209,13009 NE 74th St,Federal Way,WA 98052,USA
2014-07-04 15:26:49,783563.4498387831,4.0,3.55,2980,29080,3.3,0,1,3,3818,5,2014,58,5120 NE 23rd St,Auburn,WA 98117,USA
2014-05-26 09:40:25,1978609.7406529863,3.0,1.53,2628,60345,1.3,0,1,2,2819,47,1968,1980,4117 211th Pl NE,Burien,WA 98125,USA
2014-06-09 02:07:06,304067.0284154434,3.0,2.57,3380,50232,1.7,0,1,3,3716,26,1990,829,25756 SE 41st St,Renton,WA 98106,USA
2014-06-03 01:06:39,900534.8193380714,3.0,3.04,2711,12096,1.7,0,0,4,2392,447,2012,448,13026 10th Ave NW,Seattle,WA 98059,USA
2014-05-28 07:36:23,1112299.075019105,2.0,1.71,2677,1975,2.2,0,0,4,2130,642,1936,439,2632 NW North Beach Dr,Seattle,WA 98052,USA
2014-05-19 02:52:28,100459.02811668132,4.0,2.3,1422,47961,1.7,0,0,3,1323,225,1987,1903,19107 NE 64th Way,Kirkland,WA 98107,USA
2014-06-20 09:40:02,1495773.949846104,2.0,1.45,1875,48133,1.6,0,0,2,2451,58,1992,272,1419 Farrelly St,Covington,WA 98125,USA
2014-06-05 16:25:44,74770.89731006412,3.0,1.98,2668,6274,1.8,0,0,4,2255,323,1988,12,7650 S 134th St,Renton,WA 98109,USA
2014-06-02 02:21:08,666713.4029265059,4.0,0.49,1047,11996,1.4,0,0,4,1141,216,1907,1242,4509 185th Ave SE,Issaquah,WA 98074,USA
2014-07-06 23:09:15,171914.86706564916,3.0,0.97,679,2352,1.2,0,0,4,602,409,1936,1928,463 243rd Pl SE,Kirkland,WA 98155,USA
2014-06-07 00:17:36,727819.2444396206,2.0,1.51,1170,18870,1.8,0,1,3,1575,79,1995,1697,227 152nd Pl SE,Seattle,WA 98155,USA
2014-06-04 10:57:13,638977.1609249007,3.0,2.84,3416,60874,2.3,0,1,4,2719,670,1966,1360,747 16th Ave E,Seattle,WA 98055,USA
2014-06-07 09:17:16,349052.8316232634,4.0,2.72,2005,20124,1.6,0,1,4,1842,352,1980,139,36023 3rd Ave S,Seattle,WA 98023,USA
2014-05-28 19:01:18,67981.93428148542,3.0,1.96,1188,63150,1.1,0,1,3,565,1379,1955,1542,507 Janet Ave NE,Seattle,WA 98027,USA
2014-07-07 06:15:27,1228227.8015393424,4.0,2.56,3323,36754,1.7,0,1,3,3009,471,1995,560,15611 SE 322nd Pl,Auburn,WA 98116,USA
2014-07-02 06:45:28,76053.09470859126,2.0,1.02,971,38322,1.1,0,1,4,940,114,1940,945,27927 NE 147th Cir,SeaTac,WA 98119,USA
2014-07-03 23:39:48,1667590.7847741384,5.0,2.25,2649,17252,2.2,0,1,3,2543,263,1997,451,19199 NE 43rd Ct,Renton,WA 98144,USA
2014-05-26 05:07:10,1002184.3918631268,5.0,3.15,2219,42396,2.7,0,0,3,2716,107,1975,865,17612 NE 30th Pl,Mercer Island,WA 98031,USA
2014-05-09 03:07:02,1796445.5689340518,5.0,2.67,2507,1312,1.3,0,0,2,1341,1032,1978,1550,3635 41st Ave W,Seattle,WA 98074,USA
2014-06-04 13:25:20,977312.896772344,3.0,1.06,1912,9240,1.1,0,1,4,1241,860,1984,1741,1820 E Howell St,Maple Valley,WA 98023,USA
2014-06-02 19:18:19,220278.39923852475,4.0,2.39,3693,22228,1.8,0,1,3,3500,327,2014,96,17081-17183 SE Wax Rd,Mercer Island,WA 98031,USA
2014-06-10 18:20:23,2437572.8909400795,5.0,4.41,4187,60486,1.7,0,1,5,2550,1323,1960,1,4118 107th Pl NE,Shoreline,WA 98056,USA
2014-06-25 21:31:03,632906.4993529539,4.0,3.14,3128,49970,1.4,0,1,3,2459,448,2006,1061,33749 29th Ct SW,Normandy Park,WA 98045,USA
2014-06-17 06:56:41,554335.7370787411,4.0,1.22,1834,32799,1.1,0,0,4,977,515,1979,658,13301 56th Ave S,Sammamish,WA 98028,USA
2014-05-09 15:08:15,583644.1948325749,3.0,1.7,1304,37581,1.5,0,0,3,1218,267,1942,1995,21924 234th Ave SE,Seattle,WA 98108,USA
2014-05-29 13:14:14,521868.5838244469,5.0,2.42,2549,8391,1.9,0,0,4,1176,1031,1936,845,23022 NE 21st St,Kent,WA 98011,USA
2014-05-24 11:10:56,504328.9994295772,3.0,2.9,2621,37498,2.4,0,0,3,2390,248,1953,1269,717 164th Ave SE,Bellevue,WA 98029,USA
2014-06-09 20:41:27,491856.4641828366,4.0,1.81,2436,38774,2.4,0,0,3,1924,225,2000,453,12977 NE 201st St,Federal Way,WA 98136,USA
2014-06-26 22:05:05,357387.59223491134,4.0,1.55,1943,6729,1.4,0,1,5,1247,620,1944,272,4149-4399 19th Ave SW,Seattle,WA 98092,USA
2014-06-06 10:58:11,175382.58364040684,3.0,0.97,910,67673,1.0,0,1,4,849,250,1980,269,8309 30th Ave NW,Lake Forest Park,WA 98074,USA
2014-06-28 22:59:10,2896880.9709349736,4.0,2.36,3703,68464,2.0,0,1,3,3164,694,2008,450,14634 128th Ave NE,Seattle,WA 98122,USA
2014-05-31 10:30:21,176907.02657508836,4.0,2.42,1835,14814,1.5,0,0,3,1161,589,1970,1759,600 21st Ave,Seattle,WA 98117,USA
2014-07-07 06:08:14,1108524.005125446,5.0,2.49,2129,4695,1.2,0,2,5,1308,1013,1941,1975,715 W Howe St,Seattle,WA 98166,USA
2014-05-09 18:30:15,378309.4066923519,2.0,1.33,1206,10085,1.6,0,0,4,1079,202,1936,64,11221 Palatine Ave N,Seattle,WA 98031,USA
2014-06-05 13:14:17,3337.1105705814552,2.0,0.24,380,2970,1.3,0,0,4,425,99,1992,221,8820 NE 160th Pl,Seattle,WA 98112,USA
2014-05-24 18:32:49,276438.2939685538,4.0,0.81,702,14695,1.4,0,0,3,578,540,1967,1991,7014 NE 139th St,Seattle,WA 98033,USA
2014-05-10 15:45:05,1476961.0005320364,5.0,3.33,3505,29270,1.9,0,0,3,2990,448,2003,438,3118 264th Ave NE,Redmond,WA 98125,USA
2014-05-31 19:42:30,1115885.5894078314,4.0,2.13,2992,33946,1.6,0,1,5,2999,170,1919,468,2023 NE 175th St,Redmond,WA 98032,USA
2014-05-29 05:27:27,812525.6808601946,3.0,1.86,1915,11532,1.8,0,1,2,1897,256,1996,1272,16828 SE 251 St,Redmond,WA 98001,USA
2014-06-19 20:15:09,393289.7353223538,1.0,1.52,1569,2949,1.4,0,0,4,1310,218,2006,1297,2802-2804 S 138th St,Seattle,WA 98118,USA
2014-05-12 09:03:27,340784.4821184393,3.0,2.16,2282,26978,1.9,0,0,4,1589,903,1997,1246,236 NW 176th Pl,Seattle,WA 98144,USA
2014-05-18 19:10:03,810616.4427299754,2.0,1.62,1302,4599,1.7,0,1,3,1161,275,1947,1796,13749 1st Ave NE,Renton,WA 98198,USA
2014-07-02 16:12:17,1167283.685523264,3.0,2.82,2520,22192,2.6,0,0,4,2534,125,1978,991,12975-12983 SE 301st St,Seattle,WA 98056,USA
2014-06-06 09:34:55,919203.1512865291,4.0,3.07,2868,6214,2.8,0,0,2,3514,9,1981,1024,14586 NE 58th St,Seattle,WA 98023,USA
2014-06-05 21:33:44,1741095.835557666,3.0,2.37,2685,58420,1.6,0,1,3,2668,218,1973,1386,17622 12th Ave SW,Kent,WA 98072,USA
2014-05-27 18:31:13,1602984.9047001773,3.0,1.71,1914,14028,1.4,0,0,4,1442,553,2012,1340,12725 8th Ave NW,Mercer Island,WA 98014,USA
2014-05-24 08:29:25,970672.8094490994,3.0,1.91,1784,20682,1.3,0,1,4,1037,811,1944,1659,33823 SE Odell St,Seattle,WA 98106,USA
2014-05-27 13:07:45,811524.9791081998,2.0,1.11,565,7544,1.4,0,0,4,548,196,2007,1806,7736 38th Ave SW,Seattle,WA 98006,USA
2014-07-01 22:46:11,1259824.6392054958,3.0,2.96,673,5098,2.0,0,0,3,787,184,1999,438,13615 NE 100th St,Maple Valley,WA 98001,USA
2014-05-29 00:41:17,1091019.19047631,3.0,3.24,2984,18983,2.5,0,0,5,2625,393,1943,720,2425 Westview Dr W,Redmond,WA 98038,USA
2014-06-13 04:17:33,788571.2680294984,3.0,1.66,2000,3055,1.4,0,1,4,1393,492,1930,439,206-458 Lingering Pine Dr NW,Renton,WA 98040,USA
2014-06-17 09:14:15,1575768.970547636,4.0,2.39,3319,67991,1.1,0,0,3,2250,838,1976,231,124 SW 185th St,Seattle,WA 98008,USA
2014-05-19 14:03:53,253752.8652056495,4.0,1.94,1175,2997,1.0,0,0,3,649,350,1910,1862,32955-32977 33rd Ave SW,Seattle,WA 98053,USA
2014-05-30 12:29:07,206076.7398087553,3.0,2.39,1835,32609,1.0,0,0,3,1033,626,2001,1751,3510 NE 115th St,Kirkland,WA 98122,USA
2014-06-05 05:18:56,1023195.8532672464,2.0,1.9,2340,57149,1.9,0,0,4,2140,342,2007,54,7590 86th Ave SE,Seattle,WA 98040,USA
2014-06-06 03:30:26,414482.1484542724,3.0,2.37,1485,3308,1.4,0,0,5,1239,372,1988,1289,18119 NE 30th St,Renton,WA 98072,USA
2014-06-11 12:52:35,1295755.8083878243,6.0,3.92,3518,5386,2.1,0,1,3,2625,671,1998,943,18719 129th Ct NE,Seattle,WA 98103,USA
2014-05-28 23:23:04,807754.624832079,2.0,2.06,1994,14588,1.7,0,1,4,1491,801,1996,46,1028 SW 307th St,Bellevue,WA 98006,USA
2014-05-26 19:17:28,1211868.531973582,6.0,3.25,4391,22941,2.2,0,1,3,3331,715,1998,1091,5422 46th Ave SW,Newcastle,WA 98199,USA
2014-05-07 01:18:11,460161.0068871685,4.0,1.44,1848,15772,1.9,0,1,3,2146,140,1947,1484,30004 SE Lake Retreat S Dr,Issaquah,WA 98144,USA
2014-05-23 10:41:04,842478.2588601551,4.0,0.64,1129,2349,1.0,0,1,3,537,762,1910,1862,16726 SE 45th St,Seattle,WA 98033,USA
2014-06-15 21:13:46,677726.2862974225,4.0,2.41,1689,23068,2.1,0,0,2,1582,211,2008,1083,4149-4399 19th Ave SW,Kent,WA 98006,USA
2014-06-19 05:07:33,1620427.7719879136,3.0,2.29,1619,32796,1.8,0,1,3,1385,335,1957,610,115 28th Ave S,Kent,WA 98106,USA
2014-06-25 00:44:40,335088.55481614,4.0,2.21,2342,19005,1.7,0,1,4,2074,335,1945,265,19302 65th Pl NE,Seattle,WA 98006,USA
2014-05-18 04:49:01,804018.3550291907,3.0,2.35,2575,41068,1.9,0,0,3,2163,380,1996,1712,4612 92nd Ave NE,Bellevue,WA 98177,USA
2014-05-22 12:47:19,570068.7063339782,5.0,3.53,3924,35124,1.9,0,1,4,3212,417,1974,1154,209 30th Ave E,Seattle,WA 98198,USA
2014-06-16 03:01:15,688263.5256430581,4.0,1.8,1933,29232,1.4,0,1,4,1555,197,1955,1058,4204 134th Ave NE,Seattle,WA 98040,USA
2014-06-25 17:39:50,1019623.9139936742,2.0,1.19,1676,24231,1.0,0,1,4,1074,572,1976,1420,Indian Trail,Seattle,WA 98056,USA
2014-07-03 01:38:17,1338246.9865574553,3.0,1.61,1499,49415,2.8,0,1,2,1656,91,1979,547,15102 91st Pl NE,Snoqualmie,WA 98092,USA
2014-06-30 14:38:07,510455.8843658568,4.0,2.58,2452,12543,1.3,0,1,4,1175,1317,1973,1055,9020-9024 11th Ave NW,Renton,WA 98058,USA
2014-06-01 13:49:10,510751.0576593126,2.0,1.61,936,13384,1.7,0,0,3,1145,98,1958,1154,17732 199th Pl NE,Bellevue,WA 98116,USA
2014-06-11 18:40:59,1237875.8432579131,2.0,3.6,3450,51197,2.8,0,1,3,3770,101,2013,824,5127 NE 4th Pl,Issaquah,WA 98034,USA
2014-06-11 18:47:51,2046698.7186331763,3.0,2.2,1917,17869,2.1,0,1,2,1327,684,2009,1360,22913 NE 20th Pl,Seattle,WA 98006,USA
